"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,,,,,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,,,,,,,,,,,,,
,Nominal present value of news variable,pdvmil divided by nominal gdp of previous quarter,real gdp,real total consumption,real durable consumption,real nondurable consumption,real services consumption,real fixed investment,real nonresidential fixed investment,real residential investment,real government spending,real federal spending,real defense spending,Real consumer stock of durables,total hours - Household based measure,Military hours,"total population, including armed forces overseas",Real manufacturing product wage,Consumer price index,BAA bond interest rate,Interest rate on 3-month T-bills,Barro-Redlick Avg. marginal tax rate
,,,,,,,,,,,,,,,,,,,,,,
quarter,pdvmil,pdvmily,rgdp,rcons,rcdur,rcnd,rcsv,rinvfx,rnri,rres,rgov,rfed,rdef,kcdur,tothours,milithours,totpop,rwmfg,cpi,BAA,tb3,amtbr
1949,0,0.000,14.59,13.45,4.94,22.26,12.38,9.73,7.92,16.56,20.08,29.76,32.66,4.96,128.04,3.07,148549,0.05,23.94,3.46,1.17,0.187
1949.25,0,0.000,14.54,13.66,5.36,22.32,12.44,9.42,7.60,16.28,20.99,30.87,33.25,5.08,124.87,3.04,149188,0.05,23.92,3.46,1.17,0.187
1949.5,0,0.000,14.70,13.69,5.62,22.13,12.42,9.40,7.23,17.67,21.20,30.53,33.16,5.21,123.28,3.01,149959,0.05,23.72,3.41,1.04,0.187
1949.75,-2,-0.007,14.56,13.89,5.84,22.49,12.45,9.73,7.10,19.84,20.75,29.02,31.07,5.35,124.94,2.95,150730,0.05,23.66,3.34,1.08,0.187
1950,0,0.000,15.15,14.12,6.07,22.77,12.61,10.35,7.30,22.09,20.40,27.64,29.82,5.52,125.99,2.84,151500,0.05,23.59,3.24,1.10,0.211
1950.25,7.7,0.028,15.61,14.36,6.12,23.04,12.93,11.31,7.96,24.24,20.74,28.25,30.08,5.68,127.95,2.73,152271,0.05,23.77,3.25,1.15,0.211
1950.5,179.4,0.631,16.22,15.09,7.57,23.44,13.13,12.15,8.67,25.57,20.34,27.25,32.05,5.88,130.05,2.87,152923,0.05,24.20,3.25,1.22,0.211
1950.75,124,0.411,16.51,14.64,6.63,22.92,13.21,11.90,8.66,24.36,21.64,30.45,36.49,6.04,131.40,3.88,153575,0.05,24.69,3.21,1.34,0.211
1951,4.1,0.013,16.72,14.99,6.84,23.34,13.57,11.46,8.44,23.07,23.95,36.41,46.25,6.18,132.87,4.95,154226,0.05,25.70,3.19,1.37,0.248
1951.25,0,0.000,16.99,14.57,5.86,23.00,13.66,10.93,8.55,19.96,27.24,44.21,57.33,6.28,134.25,5.78,154878,0.05,25.95,3.41,1.49,0.248
1951.5,0,0.000,17.33,14.74,5.75,23.48,13.84,10.75,8.65,18.69,30.33,51.85,69.12,6.36,134.17,6.27,155547,0.05,25.93,3.50,1.60,0.248
1951.75,0,0.000,17.36,14.82,5.74,23.76,13.87,10.64,8.47,18.86,32.02,56.15,75.33,6.44,134.53,6.39,156216,0.05,26.32,3.56,1.61,0.248
1952,-0.5,-0.001,17.54,14.86,5.77,23.56,14.04,10.77,8.50,19.36,33.02,58.60,77.92,6.51,135.48,6.64,156527,0.05,26.42,3.54,1.57,0.268
1952.25,-4.6,-0.013,17.55,15.15,5.88,24.11,14.26,10.92,8.60,19.71,34.13,60.92,82.12,6.58,135.77,6.86,157140,0.05,26.49,3.50,1.65,0.268
1952.5,0.8,0.002,17.67,15.22,5.53,24.53,14.45,10.25,7.82,19.51,34.47,62.49,84.02,6.66,135.90,6.77,157798,0.05,26.67,3.51,1.78,0.268
1952.75,0,0.000,18.26,15.76,6.49,24.89,14.66,11.03,8.52,20.56,35.09,63.47,85.51,6.76,137.01,6.61,158451,0.06,26.70,3.53,1.89,0.268
1953,-7.5,-0.020,18.60,15.95,6.70,25.05,14.81,11.47,8.99,20.88,36.28,65.94,88.15,6.87,137.14,6.64,159170,0.06,26.62,3.54,1.98,0.266
1953.25,-4.4,-0.012,18.74,16.04,6.67,25.16,14.98,11.53,9.05,20.94,37.08,68.02,88.85,7.00,136.22,6.59,159745,0.06,26.72,3.76,2.15,0.266
1953.5,-11.7,-0.031,18.62,16.01,6.62,24.93,15.08,11.54,9.26,20.15,36.63,66.16,87.69,7.12,135.56,6.62,160449,0.06,26.84,3.86,1.96,0.266
1953.75,-1,-0.003,18.33,15.90,6.44,24.97,14.96,11.42,9.15,19.97,36.52,65.20,86.00,7.23,134.98,6.64,161223,0.06,26.89,3.77,1.47,0.266
1954,0,0.000,18.24,15.96,6.24,25.21,15.10,11.24,8.87,20.18,35.54,61.73,80.23,7.31,134.70,6.40,161912,0.06,26.95,3.61,1.06,0.241
1954.25,0,0.000,18.27,16.17,6.54,25.14,15.36,11.42,8.78,21.50,34.28,58.43,76.86,7.38,133.58,6.24,162564,0.06,26.91,3.48,0.79,0.241
1954.5,-5,-0.013,18.47,16.39,6.57,25.45,15.63,11.88,9.02,22.81,33.46,55.52,72.90,7.46,132.17,6.14,163290,0.06,26.84,3.49,0.88,0.241
1954.75,0,0.000,18.84,16.73,6.97,25.88,15.82,12.14,8.99,24.25,33.25,54.87,70.39,7.55,132.31,6.14,164107,0.06,26.76,3.45,1.02,0.241
1955,4.9,0.013,19.38,17.11,7.60,26.15,16.01,12.63,9.15,26.05,33.21,53.55,70.02,7.68,134.57,5.98,164809,0.06,26.79,3.47,1.22,0.250
1955.25,0,0.000,19.70,17.43,8.01,26.63,16.12,13.18,9.73,26.43,32.88,52.34,67.48,7.84,134.56,5.73,165463,0.06,26.76,3.50,1.48,0.250
1955.5,0,0.000,19.97,17.65,8.27,26.81,16.29,13.47,10.23,25.87,33.08,52.89,68.19,8.00,136.96,5.56,166192,0.06,26.78,3.56,1.86,0.250
1955.75,0,0.000,20.08,17.87,8.05,27.36,16.61,13.48,10.51,24.77,32.37,50.91,65.90,8.13,138.33,5.52,167023,0.06,26.86,3.60,2.34,0.250
1956,0.9,0.002,19.99,17.90,7.68,27.67,16.77,13.19,10.31,24.12,32.35,50.53,65.65,8.23,138.08,5.41,167746,0.06,26.86,3.59,2.33,0.254
1956.25,0.6,0.001,20.14,17.96,7.69,27.60,16.93,13.30,10.48,23.97,33.03,51.86,67.40,8.31,138.81,5.33,168436,0.06,27.04,3.72,2.57,0.254
1956.5,3,0.007,20.12,18.00,7.56,27.62,17.11,13.28,10.56,23.50,32.71,50.91,67.18,8.38,138.97,5.30,169191,0.06,27.32,3.93,2.58,0.254
1956.75,0.5,0.001,20.45,18.25,7.80,27.84,17.34,13.19,10.53,23.13,33.56,52.74,69.34,8.46,138.88,5.31,170063,0.06,27.55,4.26,3.03,0.254
1957,0,0.000,20.57,18.37,7.94,28.00,17.40,13.19,10.61,22.80,34.25,53.67,69.73,8.57,139.14,5.18,170806,0.06,27.78,4.46,3.10,0.255
1957.25,2.4,0.005,20.52,18.41,7.76,28.11,17.55,13.06,10.58,22.25,34.04,52.86,70.31,8.67,137.77,5.16,171501,0.06,28.01,4.53,3.14,0.255
1957.5,0,0.000,20.72,18.55,7.70,28.50,17.68,13.19,10.81,21.95,34.30,53.05,70.89,8.77,137.51,5.24,172257,0.06,28.26,4.83,3.35,0.255
1957.75,10.3,0.022,20.50,18.56,7.61,28.31,17.88,12.95,10.52,21.92,34.93,53.79,70.03,8.84,135.23,5.07,173070,0.06,28.40,5.04,3.31,0.255
1958,0.7,0.002,19.95,18.31,7.11,28.06,17.86,12.15,9.76,21.05,34.54,51.86,69.25,8.87,133.12,4.88,173746,0.06,28.74,4.72,1.76,0.253
1958.25,0,0.000,20.07,18.46,7.00,28.31,18.12,11.80,9.34,21.11,35.40,53.53,69.94,8.88,132.44,4.85,174397,0.06,28.93,4.61,0.96,0.253
1958.5,0,0.000,20.54,18.76,7.14,28.83,18.36,11.97,9.20,22.64,35.62,53.32,69.91,8.88,132.34,4.81,175143,0.06,28.91,4.69,1.68,0.253
1958.75,0,0.000,21.02,19.01,7.41,29.23,18.47,12.71,9.54,25.06,36.38,54.57,70.43,8.91,135.47,4.83,175966,0.06,28.94,4.88,2.69,0.253
1959,1.5,0.003,21.45,19.36,7.81,29.61,18.71,13.49,9.84,27.91,36.15,53.67,68.47,8.97,136.37,4.75,176685,0.07,28.99,4.87,2.77,0.265
1959.25,0,0.000,21.99,19.66,8.10,29.85,18.99,13.93,10.14,28.90,36.70,54.95,67.64,9.06,137.87,4.70,177365,0.07,29.04,4.95,3.00,0.265
1959.5,0,0.000,21.96,19.86,8.26,29.97,19.24,14.10,10.46,28.35,37.16,56.09,69.36,9.17,137.54,4.62,178101,0.07,29.19,5.12,3.54,0.265
1959.75,0,0.000,22.04,19.89,7.86,30.15,19.47,13.91,10.42,27.53,36.75,55.27,68.47,9.26,136.79,4.61,178921,0.07,29.37,5.27,4.23,0.265
1960,0,0.000,22.53,20.08,8.12,30.23,19.65,14.39,10.82,28.32,36.03,52.78,67.26,9.35,136.86,4.59,179597,0.07,29.40,5.31,3.87,0.265
1960.25,2.9,0.006,22.43,20.33,8.30,30.56,19.87,14.11,10.99,25.99,36.32,52.58,66.28,9.42,138.08,4.55,180222,0.07,29.57,5.25,2.99,0.265
1960.5,0,0.000,22.46,20.25,8.24,30.38,19.85,13.73,10.72,25.20,37.20,54.21,68.40,9.48,139.50,4.59,180945,0.07,29.59,5.10,2.36,0.265
