"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,
,Ramey-Shapiro military date,Real gdp,Real nondurable + services consumption,Real fixed investment,Real government spending,Real federal spending,Real defense spending,Total hours - Establishment based measures,Total population,Barro-Redlick Avg. Marginal Tax Rate
,,,,,,,,,,
,,,,,,,,,,
quarter,war,rgdp,rcndsv,rinvfx,rgov,rfed,rdef,tothoursces,totpop,amtbr
1982.75,0,46.454,49.24376376,32.441,59.923,71.185,76.541,180.491,232993,0.404
1983,0,47.032,49.72224643,33.15,60.373,72.042,76.996,181.651,233473,0.391
1983.25,0,48.089,50.33948677,34.43,60.889,73.574,78.776,183.405,233922,0.391
1983.5,0,49.037,51.07650101,36.488,61.946,75.639,79.314,186.233,234501,0.391
1983.75,0,50.051,51.63534208,38.625,60.899,72.99,81.355,188.339,235078,0.391
1984,0,51.021,51.85027669,39.837,61.512,73.614,81.609,191.708,235527,0.393
1984.25,0,51.902,52.52132286,41.475,62.838,75.924,82.477,194.380,235993,0.393
1984.5,0,52.407,52.98910943,42.36,63.302,75.634,82.148,195.074,236549,0.393
1984.75,0,52.833,53.52748721,43.12,64.659,78.144,85.65,195.778,237159,0.393
1985,0,53.332,54.2850297,43.453,65.4,78.977,86.242,197.100,237602,0.399
1985.25,0,53.783,54.75713298,43.999,66.867,80.904,88.731,198.264,238074,0.399
1985.5,0,54.624,55.40072996,43.645,68.603,83.617,92.308,199.138,238679,0.399
1985.75,0,55.038,55.86006163,44.469,69.013,83.585,92.727,200.205,239307,0.399
1986,0,55.567,56.22244206,44.533,69.759,83.141,92,199.891,239788,0.401
1986.25,0,55.79,56.59714693,44.427,71.242,85.792,95.469,200.567,240271,0.401
1986.5,0,56.328,56.94895413,44.177,72.854,89.039,99.187,200.916,240854,0.401
1986.75,0,56.6,57.51945476,44.471,72.436,87.657,96.41,202.645,241467,0.401
1987,0,56.914,58.09976353,43.59,72.732,88.179,97.831,204.937,241930,0.375
1987.25,0,57.519,58.61984015,44.37,73.192,89.403,100.183,205.468,242423,0.375
1987.5,0,58.018,58.98195364,45.314,73.194,89.498,101.665,206.145,243012,0.375
1987.75,0,59.011,59.41928913,45.308,74.08,90.829,101.522,209.263,243639,0.375
1988,0,59.316,60.11148641,45.249,73.721,88.361,100.432,209.722,244131,0.356
1988.25,0,60.078,60.61719238,46.134,73.914,87.461,99.576,212.665,244610,0.356
