quarter,govdef_owid,govdef_fred,govdef_spliced
1905.0,0.04598939013464478,,0.04598939013464478
1905.25,0.04714509462244697,,0.04714509462244697
1905.5,0.05080652234244732,,0.05080652234244732
1905.75,0.051024329164460945,,0.051024329164460945
1906.0,0.04989788775289818,,0.04989788775289818
1906.25,0.04896586366737735,,0.04896586366737735
1906.5,0.05171058257717144,,0.05171058257717144
1906.75,0.05456270717955301,,0.05456270717955301
1907.0,0.060041303361136784,,0.060041303361136784
1907.25,0.06375591922629578,,0.06375591922629578
1907.5,0.06893239542065789,,0.06893239542065789
1907.75,0.06706832017815953,,0.06706832017815953
1908.0,0.060466943675763093,,0.060466943675763093
1908.25,0.059447087687835506,,0.059447087687835506
1908.5,0.05404111523600916,,0.05404111523600916
1908.75,0.055497063163892225,,0.055497063163892225
1909.0,0.06836303140000594,,0.06836303140000594
1909.25,0.06473476265182254,,0.06473476265182254
1909.5,0.06392159953761983,,0.06392159953761983
1909.75,0.06320233302755171,,0.06320233302755171
1910.0,0.059055968444412264,,0.059055968444412264
1910.25,0.0637471873633778,,0.0637471873633778
1910.5,0.06607783663982542,,0.06607783663982542
1910.75,0.06781974645688456,,0.06781974645688456
1911.0,0.061863656006883226,,0.061863656006883226
1911.25,0.06541471836703487,,0.06541471836703487
1911.5,0.06665021986745275,,0.06665021986745275
1911.75,0.0697133777786292,,0.0697133777786292
1912.0,0.06789125935488315,,0.06789125935488315
1912.25,0.0648412955719954,,0.0648412955719954
1912.5,0.06752747035913904,,0.06752747035913904
1912.75,0.06828652512898241,,0.06828652512898241
1913.0,0.07115548962883411,,0.07115548962883411
1913.25,0.07321475295190949,,0.07321475295190949
1913.5,0.07028976788315691,,0.07028976788315691
1913.75,0.07182145492859952,,0.07182145492859952
1914.0,0.05782971028891136,,0.05782971028891136
1914.25,0.058181333130965227,,0.058181333130965227
1914.5,0.06092504554045345,,0.06092504554045345
1914.75,0.060639244205669914,,0.060639244205669914
1915.0,0.06354294086260553,,0.06354294086260553
1915.25,0.06089581690561767,,0.06089581690561767
1915.5,0.05564879086708582,,0.05564879086708582
