total,interest_rate,output_wage,expectations
0.000316780768832127,0.00063934909205072,-0.00297925090488862,0.00265668258167003
0.000294694513855506,0.000682834625773394,-0.00287967720623833,0.00249153709432045
0.000273430191513314,0.000729271785285569,-0.00278143392085209,0.00232559232707983
0.000253350291111496,0.000778862502365787,-0.00268592072712148,0.00216040851586719
0.000234670090455069,0.00083182210696236,-0.00259443344220067,0.00199728142569338
0.000217494650200526,0.00088838032472731,-0.00250816935456707,0.00183728368004028
0.000201848461834729,0.00094878231965814,-0.002428232897739,0.00168129903991559
0.00018769892991776,0.00101328979086811,-0.00235564162520643,0.00153005076425608
0.000174974729942352,0.00108218213155393,-0.00229133244646546,0.00138412504485388
0.000163579950999694,0.00115575765763756,-0.00223616808493228,0.00124399037829441
0.000153404804945114,0.00123433491320539,-0.00219094372017046,0.00111001361191018
0.00014433356884137,0.00131825405973292,-0.00215639377913288,0.000982473288241324
0.000136250322687484,0.00140787835609461,-0.0021331988438258,0.00086157081041868
0.000129042951155322,0.00150359573648737,-0.00212199264581534,0.000747439860483294
0.000122605797374007,0.00160582049364106,-0.00212336912125246,0.000640154424985404
0.000116841285678221,0.00171499507498813,-0.00213788950345644,0.000539735714146535
0.000111660770694277,0.00183159199986422,-0.00216608943357765,0.000446158204407708
0.00010698481857622,0.00195611590625322,-0.00220848607334781,0.000359354985670814
0.000102743083409806,0.00208910573608779,-0.00226558520741102,0.000279222554733028
9.88739068340569e-05,0.00223113706868927,-0.00233788832619564,0.000205625164340433
9.53237390964891e-05,0.00238282461252745,-0.00242589968367117,0.000138398810240199
9.20464565455836e-05,0.00254482486614295,-0.00253013332765509,7.73549180577189e-05
8.90026299963309e-05,0.00271783895981428,-0.00265112010359509,2.22837737771387e-05
8.61587867928559e-05,0.00290261569027644,-0.00278941463584998,-2.7042267633609e-05
8.34866910155644e-05,0.00309995476167449,-0.00294560229358765,-7.08657770712711e-05
8.09626646101501e-05,0.00331071024678444,-0.00312030615132921,-0.000109441430845078
7.85669586148107e-05,0.00353579428349922,-0.00331419395703488,-0.000143033367849531
7.62831819890147e-05,0.00377618102258881,-0.00352798512338094,-0.000171912717218852
7.40977892800682e-05,0.00403291084382319,-0.00376245776054027,-0.000196355294002852
7.19996285975023e-05,0.00430709485872336,-0.00401845577138469,-0.000216639458741168
6.997954641677e-05,0.00459991971941203,-0.00429689603251119,-0.000233044140484064
6.80300444447444e-05,0.00491265275439906,-0.00459877568698783,-0.000245847022966481
6.61449861056431e-05,0.00524664745352112,-0.00492517957708957,-0.000255322890325907
6.43193482889353e-05,0.00560334932577857,-0.00527728784767204,-0.00026174212981759
6.25490099471263e-05,0.00598430215541444,-0.00565638375315971,-0.000265369392307599
6.08305762680882e-05,0.00639115468333486,-0.00606386170348321,-0.00026646240358357
5.91612340607166e-05,0.00682566774275832,-0.00650123558657904,-0.00026527092211857
5.75386306594319e-05,0.00728972188000431,-0.00697014740747117,-0.000262035841873711
5.59607770370792e-05,0.00778532549338839,-0.00747237628629376,-0.000256988430057545
5.44259671494712e-05,0.00831462352544397,-0.00800984786005879,-0.000250349698235704
5.2932716979521e-05,0.00887990674611308,-0.00858464413550106,-0.000242329893632498
5.14797120268036e-05,0.0094836216670515,-0.00919901384286511,-0.000233128112159587
5.00657657316713e-05,0.0101283811300041,-0.00985538334326842,-0.000222932021004047
4.86897937755815e-05,0.0108169756149979,-0.0105563681449622,-0.000211917676260166
4.73507840472703e-05,0.0115523853174024,-0.0113047850869532,-0.000200249446401945
4.60477834424604e-05,0.0123377930460099,-0.0121036652513419,-0.000188080011225517
4.47798812167869e-05,0.0131765979980533,-0.0129562676692437,-0.00017555044759287
4.35462005361687e-05,0.0140724304707344,-0.0138660938885227,-0.00016279038167554
4.23458878596622e-05,0.0150291675729075,-0.0148369034753183,-0.000149918209729531
4.11781162223081e-05,0.0160509500049894,-0.0158727305254162,-0.000137041363350864
4.00420697490262e-05,0.0171421999796628,-0.0169779012656443,-0.000124256644269514
3.89369520711494e-05,0.018307640360933,-0.0181570528300745,-0.000111650578787403
3.78619811861572e-05,0.0195523151044172,-0.0194151533007321,-9.92998224989655e-05
3.68163840116499e-05,0.0208816110872592,-0.0207575231076154,-8.72715956321904e-05
3.57994065219496e-05,0.0223012814222184,-0.0221898578885712,-7.56241271252259e-05
3.48103027189108e-05,0.0238174703567995,-0.0237182529154735,-6.44071386070503e-05
3.38483438790024e-05,0.0254367398651675,-0.0253492291996138,-5.3662321674684e-05
3.29128159524545e-05,0.0271660980480119,-0.0270897613962233,-4.34238358361132e-05
3.20030070260895e-05,0.0290130294631299,-0.0289473076352477,-3.37188208560454e-05
3.11182401623529e-05,0.0309855275181832,-0.0309298414137857,-2.45678642351292e-05
3.02578377942483e-05,0.033092129065684,-0.0330458856938197,-1.59855340700752e-05
2.94211421312762e-05,0.0353419513499264,-0.0353045493581571,-7.98084963809873e-06
2.86075070926468e-05,0.0377447314659621,-0.037715566187524,-5.57771345453322e-07
2.78163072428052e-05,0.0403108685010393,-0.0402893365317329,6.28433793649046e-06
2.70469305801663e-05,0.0430514685413368,-0.0430369718599299,1.25502491732735e-05
