robs,piexp,dw,dc,dinve,dy,pinfobs
6.46380125394923e-05,0.000384242177558318,0.000621972284524173,-0.000492735020519238,-0.00161477198700223,-0.000636275398644697,0.000341074803809884
0.000197264829117826,0.000406755690389553,0.000426487662877735,-0.000506351267004883,-0.00154829201937617,-0.000643779577788221,0.000384242177594965
0.000288795419815573,0.000413895459481717,0.000270280588055983,-0.000494481647224839,-0.0014469644071287,-0.00062436055929494,0.000406755690433869
0.000348023217801829,0.000409891381696121,0.000147418510574452,-0.000465653310860585,-0.001325332125219,-0.000587164598369083,0.000413895459522786
0.000382301980007603,0.000398090795221845,5.25176047584108e-05,-0.000426366720280754,-0.00119423361753585,-0.000539167580409061,0.000409891381752682
0.000397698291347744,0.000381106998796053,-1.92201646667488e-05,-0.000381477755464979,-0.00106151728454932,-0.000485578966797994,0.000398090795276077
0.000399150262874675,0.000360949018259998,-7.20041868940478e-05,-0.000334525945369484,-0.00093265853162789,-0.00043019109405305,0.000381106998858647
0.000390623035574443,0.000339133599035071,-0.000109476003075571,-0.000288011838582326,-0.000811282227117401,-0.000375675902274766,0.000360949018327088
0.000375255156140517,0.000316780768729289,-0.000134745560096077,-0.000243628011699224,-0.000699597392300149,-0.000323833101201472,0.000339133599113494
0.000355492383875816,0.000294694513748459,-0.000150436676729287,-0.000202448901524467,-0.000598753062507718,-0.000275794778417069,0.000316780768813884
0.00033320725280062,0.000273430191387572,-0.000158737072658648,-0.000165084810737449,-0.000509125110590238,-0.000232191821504133,0.000294694513834664
0.000309803931345689,0.000253350290982003,-0.000161449590582478,-0.000131805268107158,-0.000430543844693808,-0.000193287484048627,0.000273430191494942
0.000286308733804762,0.00023467009032449,-0.000160042253207716,-0.000102636559263125,-0.00036247169368246,-0.000159083130929134,0.000253350291091105
0.000263447150777066,0.000217494650037939,-0.000155695583618752,-7.74377747464957e-05,-0.000304139494427928,-0.000129400760815793,0.00023467009044056
0.000241708562590898,0.000201848461681902,-0.000149346218326602,-5.59592107081141e-05,-0.000254648952345915,-0.000103946398400953,0.000217494650179616
0.000221399942657523,0.000187698929724129,-0.000141726291884553,-3.78864455839421e-05,-0.000213047857868423,-8.2357925851185e-05,0.000201848461811115
0.000202689894607998,0.000174974729738607,-0.000133398400074269,-2.28729279264751e-05,-0.000178383678503067,-6.42404142339287e-05,0.000187698929890414
0.000185644332555387,0.000163579950757198,-0.000124786180783915,-1.05634619492029e-05,-0.000149740245864829,-4.91915414900698e-05,0.000174974729915429
0.000170255034371994,0.000153404804675415,-0.000116200708955947,-6.1057472984368e-07,-0.000126261443295838,-3.68192537412291e-05,0.000163579950955787
0.000156462192674269,0.00014433356855172,-0.000107863001943474,7.3146043436046e-06,-0.000107165081563867,-2.67534462451629e-05,0.000153404804858676
0.000144171969699279,0.000136250322375657,-9.99229884580081e-05,1.35156273074024e-05,-9.17495295309971e-05,-1.86531099367447e-05,0.000144333568777255
0.000133269941010207,0.000129042950811795,-9.24753194917798e-05,1.82671099316125e-05,-7.93951381925901e-05,-1.22101063484886e-05,0.000136250322630477
0.0001236311946606,0.000122605797024253,-8.55724021806103e-05,2.18133670853808e-05,-6.95620539581548e-05,-7.1504950038048e-06,0.000129042951109673
0.000115127741221513,0.000116841285256739,-7.92350246022851e-05,2.43686385623587e-05,-6.17856524414554e-05,-3.23413864786935e-06,0.000122605797321445
0.000107633787788928,0.000111660770269432,-7.34609164335223e-05,2.61183911629199e-05,-5.56705245765376e-05,-2.53147042870011e-07,0.000116841285588804
0.000101029338240611,0.000106984818146457,-6.82315612868672e-05,2.72213065390233e-05,-5.08837073291186e-05,1.9704128787728e-06,0.000111660770611873
9.52025010685401e-05,0.000102743082911509,-6.35175444792544e-05,2.78116608383596e-05,-4.71476610269872e-05,3.58722092809514e-06,0.00010698481850298
9.00508165009975e-05,9.8873906298661e-05,-5.92826871063208e-05,2.800188174349e-05,-4.42333440578409e-05,4.72358720333399e-06,0.000102743083332439
8.54818542362943e-05,9.53237385254185e-05,-5.5487185146156e-05,2.78851290026345e-05,-4.19536216588451e-05,5.48434888821992e-06,9.88739067496249e-05
8.14132831394511e-05,9.2046455874452e-05,-5.20899419054878e-05,2.75377930634115e-05,-4.01571559259531e-05,5.95566596592318e-06,9.53237390764588e-05
7.77725708793683e-05,8.90026293044068e-05,-4.90502540583251e-05,2.70218426196271e-05,-3.87228596706374e-05,6.20764164287529e-06,9.20464564049409e-05
7.4496437049056e-05,8.61587859265883e-05,-4.63289861634415e-05,2.63869799230513e-05,-3.75549481304049e-05,6.29672376106055e-06,8.90026299465548e-05
7.15301537119094e-05,8.3486690087974e-05,-4.38893459869538e-05,2.56725826389086e-05,-3.65785887164374e-05,6.26786496747485e-06,8.61587865885481e-05
6.882676476933e-05,8.09626635889588e-05,-4.16973532014145e-05,2.49094263837922e-05,-3.57361261860236e-05,6.15643691387658e-06,8.34866907406988e-05
6.63462757036696e-05,7.85669575932142e-05,-3.97220769256902e-05,2.41211914125924e-05,-3.49838452480743e-05,5.98990273268915e-06,8.09626643295106e-05
6.40548511588476e-05,7.62831808453223e-05,-3.79357029611958e-05,2.33257652655546e-05,-3.42892239342973e-05,5.78926208043615e-06,7.85669584534249e-05
6.19240462572231e-05,7.40977879719383e-05,-3.63134792169801e-05,2.25363558476447e-05,-3.36286280354385e-05,5.57028496595051e-06,7.62831818155457e-05
5.99300879901425e-05,7.1999627319011e-05,-3.48335774789455e-05,2.17624325204496e-05,-3.29853946131819e-05,5.34455487814102e-06,7.40977890477829e-05
5.80532155162065e-05,6.99795449285203e-05,-3.34769010982851e-05,2.10105145412025e-05,-3.23482538833752e-05,5.12034190842346e-06,7.19996284108305e-05
5.62770860664583e-05,6.8030042698129e-05,-3.22268611840395e-05,2.02848243583786e-05,-3.17100452387933e-05,4.90332655154732e-06,6.99795461208068e-05
